NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CERT1	1	COL4A3BP	
GRIA4	1	GRIA4	
IFNA21	1	IFNA21	
KIR2DL5A	1	KIR2DL5A	
KCNF1	1	KCNF1	
SDF2L1	1	SDF2L1	
NOP16	1	NOP16	
TNFRSF9	1	TNFRSF9	
UROS	1	UROS	
NEK7	1	NEK7	
LY86	1	LY86	
BMX	1	BMX	
ADSS2	1	ADSS	
LRCH4	1	LRCH4	
BCAR3	1	BCAR3	
PIWIL1	1	PIWIL1	
BMP10	1	BMP10	
KIR3DS1	1	KIR3DS1	
PTEN	1	PTEN	
ECE1	1	ECE1	
ETFA	1	ETFA	
HTR2A	1	HTR2A	
NENF	1	NENF	
MSLN	1	MSLN	
BMP15	1	BMP15	
TNFSF13B	1	TNFSF13B	
AP4M1	1	AP4M1	
SPN	1	SPN	
ARL5B	1	ARL5B	
SPR	1	SPR	
BOC	1	BOC	
ARL5A	1	ARL5A	
NEO1	1	NEO1	
MBL2	1	MBL2	
MSMB	1	MSMB	
UNC45A	1	UNC45A	
CERS5	1	CERS5	
GRID2	1	GRID2	
PIANP	1	PIANP	
GRID1	1	GRID1	
RNASET2	1	RNASET2	
TNFRSF18	1	TNFRSF18	
DHPS	1	DHPS	
TNFRSF19	1	TNFRSF19	
TNFRSF1B	1	TNFRSF1B	
ARFGAP1	1	ARFGAP1	
ARFGAP2	1	ARFGAP2	
TNFRSF1A	1	TNFRSF1A	
ARL4D	1	ARL4D	
C1D	1	C1D	
BPI	1	BPI	
TOP1	1	TOP1	
DCTPP1	1	DCTPP1	
GAPDH	1	GAPDH	
TNFRSF21	1	TNFRSF21	
BCAT2	1	BCAT2	
CANT1	1	CANT1	
C1S	1	C1S	
C1R	1	C1R	
SRC	1	SRC	
LRTM2	1	LRTM2	
LRTM1	1	LRTM1	
PTH2	1	PTH2	
SRI	1	SRI	
IL2RG	1	IL2RG	
SRL	1	SRL	
MTHFSD	1	MTHFSD	
U2AF2	1	U2AF2	
NNAT	1	NNAT	
UBQLN4	1	UBQLN4	
UBQLN2	1	UBQLN2	
SSB	1	SSB	
GZMA	1	GZMA	
GZMB	1	GZMB	
MSMP	1	MSMP	
CABLES2	1	CABLES2	
APLN	1	APLN	
GZMH	1	GZMH	
GSTZ1	1	GSTZ1	
GZMK	1	GZMK	
GZMM	1	GZMM	
SST	1	SST	
IL2RA	1	IL2RA	
IL2RB	1	IL2RB	
OCIAD1	1	OCIAD1	
PDCD4	1	PDCD4	
PDCD1	1	PDCD1	
TNFRSF6B	1	TNFRSF6B	
RFESD	1	RFESD	
ECI2	1	ECI2	
ICAM2	1	ICAM2	
ICAM3	1	ICAM3	
ICAM4	1	ICAM4	
ICAM5	1	ICAM5	
ICAM1	1	ICAM1	
PEX26	1	PEX26	
LGALS4	1	LGALS4	
LGALS3	1	LGALS3	
LGALS2	1	LGALS2	
IL36A	1	IL36A	
LGALS1	1	LGALS1	
IL36B	1	IL36B	
ANPEP	1	ANPEP	
BSG	1	BSG	
KDR	1	KDR	
TNFSF10	1	TNFSF10	
FBXO3	1	FBXO3	
TNFSF11	1	TNFSF11	
LGALS9	1	LGALS9	
THSD7A	1	THSD7A	
LGALS8	1	LGALS8	
LGALS7	1	LGALS7	
CER1	1	CER1	
TP63	1	TP63	
ARL11	1	ARL11	
ARL14	1	ARL14	
ARL15	1	ARL15	
ECH1	1	ECH1	
BTC	1	BTC	
BTD	1	BTD	
KEL	1	KEL	
SLPI	1	SLPI	
CRISPLD2	1	CRISPLD2	
SUB1	1	SUB1	
BTK	1	BTK	
MTCP1	1	MTCP1	
TP53	1	TP53	
CES1	1	CES1	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
SDC3	1	SDC3	
APOM	1	APOM	
RACGAP1	1	RACGAP1	
RRAS	1	RRAS	
APOH	1	APOH	
NEU1	1	NEU1	
APOF	1	APOF	
KCNN1	1	KCNN1	
APOD	1	APOD	
B4GALNT1	1	B4GALNT1	
APOE	1	APOE	
APOB	1	APOB	
DECR2	1	DECR2	
PCK1	1	PCK1	
DECR1	1	DECR1	
NTNG1	1	NTNG1	
TNFSF18	1	TNFSF18	
MSR1	1	MSR1	
YES1	1	YES1	
APOBEC3G	1	APOBEC3G	
TNFSF14	1	TNFSF14	
TNFSF15	1	TNFSF15	
TNFSF12	1	TNFSF12	
IGF2	1	IGF2	
IL36G	1	IL36G	
PTK6	1	PTK6	
IGF1	1	IGF1	
C16orf54	1	C16orf54	
PTK2	1	PTK2	
BST2	1	BST2	
NET1	1	NET1	
BST1	1	BST1	
MSRA	1	MSRA	
PTK7	1	PTK7	
GRB2	1	GRB2	
GRAP	1	GRAP	
FBXL5	1	FBXL5	
FBXL4	1	FBXL4	
HERPUD2	1	HERPUD2	
ECM1	1	ECM1	
HIBADH	1	HIBADH	
MSTN	1	MSTN	
SYNCRIP	1	SYNCRIP	
C8G	1	C8G	
SUFU	1	SUFU	
RAC2	1	RAC2	
FCER1A	1	FCER1A	
RAC3	1	RAC3	
PHGDH	1	PHGDH	
RAC1	1	RAC1	
SDF2	1	SDF2	
ZHX3	1	ZHX3	
SYK	1	SYK	
MST1	1	MST1	
CACYBP	1	CACYBP	
ZHX1	1	ZHX1	
APRT	1	APRT	
KIN	1	KIN	
TOX3	1	TOX3	
RAP2A	1	RAP2A	
SLTM	1	SLTM	
KIT	1	KIT	
TAX1BP1	1	TAX1BP1	
ARHGEF1	1	ARHGEF1	
TAX1BP3	1	TAX1BP3	
ARHGEF2	1	ARHGEF2	
MICU2	1	EFHA1	
ARHGEF7	1	ARHGEF7	
PCNA	1	PCNA	
SELPLG	1	SELPLG	
COX5B	1	COX5B	
COX5A	1	COX5A	
PCNP	1	PCNP	
SH3BGRL	1	SH3BGRL	
