proteinId,pValue,fdr,log10fdr,meanGroup1,meanGroup2,logFoldChange
NTRK3,0.002353247,0.033247025,1.478247216,6001.685714,7267.416667,-0.191360505
NUDT16L1,0.004183686,0.043558603,1.360926053,28866.31429,23570.05556,0.202698246
NUDT9,0.000703694,0.016863027,1.773064467,2691.028571,2035.833333,0.279018254
OIT3,0.002250789,0.032776303,1.484440028,1427.771429,1060.194444,0.297662458
OLFM2,0.001964667,0.030823309,1.511120745,11160.4,14582.30556,-0.267437047
OMD,0.000252449,0.009594766,2.017965614,10467.97143,20228.86111,-0.658790097
OTC,0.004310602,0.043765809,1.358865042,10416.91429,3792.138889,1.010500648
PABPC3,0.002141004,0.032276254,1.491116872,12509.57143,9670.416667,0.257422668
PABPC4,0.002681953,0.035688144,1.447476039,24436.94286,19210.55556,0.240636142
PAICS,0.00374427,0.041751347,1.379329507,3534.971429,2400.5,0.387028168
PALM,0.003626084,0.041594799,1.380960974,1742.914286,2007.527778,-0.141345415
PAM,0.002820728,0.036164889,1.441712864,1932.628571,2313.833333,-0.18002457
PC,3.11E-05,0.002532017,2.596533438,3258.142857,1108.333333,1.078299972
PCBD1,2.89E-05,0.002532017,2.596533438,7261.942857,3890.722222,0.624052603
PCSK2,3.29E-05,0.002532017,2.596533438,5139.228571,4162.222222,0.210853865
PCYOX1,0.000275966,0.009798523,2.008839389,1469.828571,1919.916667,-0.267136006
PDXK,0.003098976,0.037787583,1.422650884,1575.6,1305.305556,0.188198997
PHEX,0.001847839,0.030038263,1.522325182,382.1714286,493.7777778,-0.2562163
PLA2G2A,0.000366506,0.011238735,1.949282569,8744.971429,4181.444444,0.737822094
PLAT,8.89E-06,0.00184489,2.734029419,11151.57143,7127.527778,0.447615984
PLEKHA7,0.001108236,0.021956334,1.658440181,389.8,322.1666667,0.190564777
PNLIPRP1,0.004245326,0.043558603,1.360926053,6437.057143,4544.083333,0.34824545
PNPO,2.22E-05,0.002532017,2.596533438,2168.4,1766.027778,0.205256737
POR,0.002114238,0.03208677,1.493673993,16138,11140.05556,0.370629518
PPAPDC1A,0.002542281,0.0344738,1.462510842,782.4285714,903.3055556,-0.143658239
PPP3R1,0.002528639,0.0344738,1.462510842,15902.82857,12965.11111,0.204235002
PRSS2,0.001656951,0.027771698,1.556397559,4723.371429,3264.416667,0.369441746
PSAPL1,0.005278556,0.048121827,1.317657893,1623.8,2022.805556,-0.219716355
PSAT1,2.90E-05,0.002532017,2.596533438,33235.11429,15287,0.776604182
PSD2,0.003865008,0.042396882,1.372666086,2780.6,3885.416667,-0.334563496
PSME2,0.003709932,0.041691469,1.379952807,5170.285714,3866,0.29070757
PTPN11,0.003851268,0.042396882,1.372666086,16351.2,12204.58333,0.292489725
PUF60,0.001679948,0.027811659,1.555773104,11742.71429,9290.305556,0.234261544
PYGL,0.001901572,0.030184395,1.520217521,37434.8,25577.16667,0.380900727
QDPR,0.003264575,0.038680427,1.412508744,19731.25714,13733.55556,0.362361887
RANBP3,3.93E-05,0.002791047,2.554232777,4121.257143,3162.111111,0.264918371
RBP5,0.002857307,0.036198956,1.441303956,5942.971429,3813.388889,0.443690983
RCN3,0.001186631,0.022872118,1.640693611,937.0857143,1046.611111,-0.110537955
REG3G,5.83E-05,0.003935679,2.404980327,11322.25714,5577.166667,0.708089566
RELL1,0.004786183,0.046291772,1.334496195,523.0571429,666.1388889,-0.241807473
RNASE4,0.004124814,0.043558603,1.360926053,18602.17143,15237.75,0.199502416
