"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"STOML2",0.0450049942638499,0.277037456158136,0.55746150926381,1855.14285714286,2150.47619047619,-0.147727596527056
"STUB1",0.174908992538095,0.370645384824492,0.431041403225323,4063.11904761905,3193.57142857143,0.240811056368808
"STX10",0.0546552689867608,0.287932607337241,0.540709150041156,13215.7142857143,9304.71428571429,0.350885413563017
"STX12",0.0885455379305024,0.325389092922738,0.48759700875275,6422.71428571429,5462.66666666667,0.161903743273368
"STX18",0.688471079903957,0.545035789165053,0.263574979325972,1275,1363.04761904762,-0.0667769104325508
"STX1A",0.112317916704291,0.339842859173106,0.468721851103784,1910.14285714286,2069.85714285714,-0.0803015582060567
"STX1B",0.154796953605931,0.365128081109213,0.43755476523761,768.142857142857,822.809523809524,-0.0687490048353341
"STX2",0.853259274664929,0.587365132903775,0.23109183758327,1469.42857142857,1465.57142857143,0.00262837824714858
"STX3",0.446063669600852,0.469410814329154,0.328446909306288,880.904761904762,971.190476190476,-0.0975730962002697
"STX4",0.166341786816518,0.369734716285186,0.432109769380278,6794.38095238095,5843.19047619048,0.150818977969657
"STX6",0.885979333246885,0.593982543057134,0.226226318596861,5047.95238095238,5035.52380952381,0.00246513751562078
"STX7",0.168943029739861,0.369906735348583,0.43190776087684,25205.3333333333,21517.6666666667,0.158181309191493
"STX8",0.0500770361150736,0.281828969034483,0.550014368057044,8785.28571428571,6233.28571428571,0.343174648335701
"STXBP6",0.400898540611288,0.459090943237236,0.33810127473755,8240.09523809524,7741.57142857143,0.0624072079341865
"SUB1",0.122756298301615,0.346830772345723,0.459882376977092,2392.33333333333,1681.80952380952,0.352398868512316
"SUDS3",0.0450842967741964,0.277037456158136,0.55746150926381,1041.2380952381,1183.04761904762,-0.127683355684763
"SUFU",0.390268989089564,0.457126560808737,0.339963543800272,1975.42857142857,2076.61904761905,-0.0499557403437562
"SUGT1",0.408740515856827,0.46215769971572,0.335209807062749,104581.428571429,98665.6190476191,0.0582294409102292
"SULF2",0.0196109549959175,0.224809758030226,0.648184841827591,2144.38095238095,1868.66666666667,0.137625746363815
"SULT1A3",0.424910218652467,0.465001200840331,0.3325459255667,16708.619047619,14230.7142857143,0.160522090313821
"SULT1B1",0.747949704342188,0.561005598032696,0.251032805085052,1395.28571428571,1372,0.0168296781063331
