"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"PSG1",0.895692708165603,0.594021743555827,0.226197657824391,14673.9411764706,18228.8148148148,-0.216930362083218
"PSG11",0.789896283550013,0.563246705774938,0.249301339627124,6399.29411764706,10429.4259259259,-0.488443536673685
"PSG2",0.80594908286116,0.569497054048365,0.244508518141243,11345.0588235294,16968.5555555556,-0.402579654903461
"PSG3",0.996630386877453,0.616624001394842,0.209979574856883,19471.8823529412,32228.2037037037,-0.503870466231759
"PSG4",0.719628224427441,0.544562291389056,0.263952434991365,23198.8823529412,29350.3333333333,-0.235199800323384
"PSG5",0.915616031483152,0.597686747321898,0.223526373794526,8803.94117647059,12312.4259259259,-0.335409508124717
"PSG6",0.761671308546401,0.556661157119978,0.254409081974892,15512.2941176471,23430.5,-0.412405714040738
"PSG7",0.958248875316385,0.60745869011576,0.216483250675793,13351.8235294118,6769.25925925926,0.679261303719559
"PSG8",0.728716636739742,0.54761718023491,0.261522935329542,8266.17647058824,11615.037037037,-0.340128490110035
"PSG9",0.607929355091974,0.507102309512005,0.294904411526598,19515.5882352941,35498.1111111111,-0.59826594402395
"PSIP1",0.361537870227804,0.406854651094076,0.390560714858373,43309.5294117647,40427.1296296296,0.0688716045076641
"PSMA1",0.0740130010926748,0.263594900596341,0.579062995687632,2648.26470588235,2849.12037037037,-0.073105707129783
"PSMA2",0.290796966024761,0.373451018010674,0.427766352356421,1457.82352941176,2034.66666666667,-0.333387415121784
"PSMA3",0.213624903311938,0.337025032787461,0.472337840381769,679.705882352941,646.944444444444,0.0493997542299885
"PSMA4",0.190871923984497,0.32500647736333,0.488107983466913,1112.52941176471,1329.25925925926,-0.177985666905086
"PSMA5",0.517995925106489,0.47292248640107,0.32521003576734,7905,7692.37037037037,0.0272664940199286
"PSMA6",0.600221648243014,0.503791920105479,0.297748802065663,2110.64705882353,2295.27777777778,-0.0838593088309394
"PSMA7",0.801166926649752,0.567594681778806,0.245961682426929,31859.1176470588,43585.3888888889,-0.313398367558643
