"proteinId","coefficient","pValue","fdr"
"KIR2DS4",-1656.4970313187,0.0549275572107276,0.1244790646289
"KIR3DL1",412.049031556591,0.700437283538429,0.438943555049134
"KIR3DL2",-290.97849513473,0.4833145387959,0.363941165496542
"KIR3DL3",138.550169708105,0.755958642146629,0.458077392165437
"KIR3DS1",-242.453537868778,0.660901598636102,0.427706129442371
"KIRREL2",-317.956037128474,0.140750147131731,0.189612190998246
"KIRREL3",-889.396282645066,0.132463214921315,0.184473683161303
"KISS1",-799.60075314158,0.146566864728501,0.193756601700516
"KIT",-965.719515538272,0.000539616427430454,0.0230241562652893
"KITLG",-1184.53243092467,0.0599255386586627,0.128843697129527
"KL",-776.592833939257,0.00802167790462308,0.0567183686117249
"KLB",709.159839755706,0.0567537753930001,0.126759801987148
"KLC1",423.336826248583,0.0140333046681248,0.0731127130271563
"KLF4",284.112154651515,0.60630272484377,0.40979611825759
"KLHL12",-727.850257792586,0.242013158413984,0.253633954959051
"KLHL13",-1519.99233053577,0.0712696489538791,0.138006747667962
"KLHL7",474.496235646449,0.591549404511111,0.404188695927525
"KLK10",-652.933329140131,0.0230400179296232,0.0880151925603707
"KLK11",-458.875255888565,0.34889876901485,0.306581230229215
"KLK12",-314.170469811752,0.15253773173665,0.197534588677256
"KLK13",-654.461810938927,0.0270705667528242,0.0922756860998715
"KLK14",-510.876246194152,0.0750790870252577,0.141116756619325
"KLK15",528.976885334206,0.275238714686177,0.269462327365788
"KLK3",314.459573349786,0.234700648945335,0.250245170848591
"KLK4",133.758228515506,0.695781816337537,0.438000488431261
"KLK5",-488.232863215352,0.438933681454518,0.34565226046367
"KLK6",-556.413233598359,0.057096302100767,0.12713321059047
"KLK7",-658.933013520623,0.0194893060325439,0.0826128295622365
"KLK8",-813.578308432349,0.0647985881043957,0.132310439730223
"KLK9",-702.563639094906,0.377814518228833,0.318195733122958
"KLKB1",102.23899504464,0.891271870725733,0.495912348425327
"KLRB1",-318.768331344993,0.386716762301424,0.322272855823043
"KLRC1",-144.338432493583,0.86508001974265,0.488212618644167
"KLRC3",-960.743324561988,0.039717865348119,0.109149113852175
"KLRC4",-27.5782112420426,0.949339232177332,0.508850443708139
"KLRF1",-1105.32552976238,0.193169315149111,0.226048973567737
"KLRG2",133.138215612464,0.560606360682796,0.394917543204603
"KLRK1",-588.476616558324,0.423663716196056,0.338428098105258
"KMT2C",283.777689265112,0.548477273252387,0.390261414709295
"KNG1",82.7235313448498,0.745633290192961,0.455340394193666
"KPNA1",192.958501627039,0.698912199850196,0.438320815902209
"KPNA2",-123.646301023109,0.778132736878656,0.465023619144927
"KPNA4",1994.87281048345,0.018080219627383,0.0816487797646299
"KPNA6",408.380124350811,0.0276306028373087,0.0925522454600054
"KPNB1",390.592220978184,0.152949917880938,0.197821772963608
"KREMEN1",286.91059845407,0.702525701324232,0.439352867183146
"KREMEN2",255.236214234871,0.555654479231503,0.393107717399971
"KRT1",376.028194030861,0.25631592245994,0.259703104778838
"KRT16",-735.467738806239,0.368366931652759,0.315434614452885
"KRT17",-763.442002170246,0.406653597657592,0.331255734087123
"KRT18",400.875834658094,0.620038730253189,0.414877393266624
"KRT19",-397.688023843968,0.509050555101571,0.374593815926059
"KRT20",-578.37026068155,0.134567758379548,0.185939640763416
"KRT5",-1180.9506727463,0.0710784240206507,0.137939920869518
"KRT7",97.3759402752108,0.882086694290115,0.493293781418016
"KRT72",-575.404694528358,0.0979635447003208,0.159725958232577
"KRTAP24",-330.011861359982,0.349787942627306,0.306851537918587
"KRTDAP",-205.770677978336,0.685659052490913,0.435189511841352
"KYNU",1490.32169845886,0.0186403903045025,0.0819453243395385
"L1CAM",-747.957730333168,0.0123394655019086,0.0683148911051538
"L3MBTL2",962.572636405223,0.0398265536309106,0.109149113852175
"LACRT",-437.398399670487,0.172460353357934,0.211912395457061
"LAD1",-214.830985644381,0.635464217163552,0.419807200130808
"LAG3",-123.300255787395,0.654820873658462,0.425887025069515
"LAIR1",89.7182082645376,0.927317726914367,0.503834281693854
"LAIR2",219.692584627482,0.670847991644999,0.429558506727351
"LAMA2LAMB1LAMC1",-271.596336586019,0.58054078788424,0.400929482395496
"LAMA4",897.52708654902,0.175452890530743,0.213904316884468
"LAMC2",22.0782386127036,0.949754947127513,0.508850443708139
"LAMP1",-272.90819985925,0.124511282289274,0.178588891100555
"LAMTOR3",68.8480396836695,0.878587321230249,0.492253716394687
"LANCL1",605.584372438596,0.0320599276402537,0.100049726526393
"LANCL2",862.768829492021,0.00859806535730958,0.0587785308596595
"LAP3",438.118256131235,0.203642667622371,0.231965015288067
"LARGE",-696.263148542721,0.109688300770521,0.169867419400575
"LAT",209.857292729406,0.242558685298237,0.25375857727393
"LAT2",-1233.54054368473,0.123370671544973,0.178023618028597
"LAYN",-455.620293669011,0.388916261565582,0.323361778635745
"LBP",-182.375580487636,0.620798831888939,0.414877393266624
"LCAT",940.292488049283,0.241482405379255,0.253543491153756
"LCK",320.77952238008,0.46115667997367,0.35498048754454
"LCMT1",-920.515415873029,0.37667586866173,0.317929178523585
"LCN1",-1603.35743990069,0.0622068335514536,0.130883750612208
"LCN10",-865.130764395334,0.0257047177027818,0.0915456538807409
"LCN2",270.302479300117,0.422733235802045,0.338012137934152
"LCN8",-387.619508718044,0.118639868239924,0.17566126720328
"LCORL",-534.357146881452,0.359746996523473,0.311611510666721
"LCP1",1566.49518630525,0.000455496339931891,0.0213956754707569
"LCT",-1113.58374603233,0.0654791754473599,0.133122920259279
"LCTL",-2174.73191481407,0.0519168482987019,0.122460760752755
"LDHA",389.391962814904,0.0280369865163022,0.092965411790043
"LDHB",583.686145268479,0.0227369211562621,0.0876442003841301
"LDHC",-118.264298147152,0.710841360486911,0.442438457011828
